state,senate_overall_winner,republican_primary,democrat_primary
Alabama,https://kalshi.com/markets/senateal/alabama-senate-winner/senateal-26,https://kalshi.com/markets/kxsenatealr/alabama-republican-senate-nominee/kxsenatealr-26,null
Alaska,https://kalshi.com/markets/senateak/alaska-senate-winner/senateak-26,null,null
Arkansas,https://kalshi.com/markets/senatear/arkansas-senate-winner/senatear-26,null,null
Colorado,https://kalshi.com/markets/senateco/colorado-senate-winner/senateco-26,https://kalshi.com/markets/kxsenatecor/colorado-republican-senate-nominee/kxsenatecor-26,https://kalshi.com/markets/kxsenatecod/colorado-democratic-senate-nominee/kxsenatecod-26
Delaware,https://kalshi.com/markets/senatede/delaware-senate-winner/senatede-26,https://kalshi.com/markets/kxsenateder/delaware-republican-senate-nominee/kxsenateder-26,null
Florida,https://kalshi.com/markets/senatefls/florida-senate-winner/senatefls-26,https://kalshi.com/markets/kxsenateflr/florida-republican-senate-nominee/kxsenateflr-26,https://kalshi.com/markets/kxsenatefld/florida-democratic-senate-nominee/kxsenatefld-26
Georgia,https://kalshi.com/markets/senatega/georgia-senate-winner/senatega-26,https://kalshi.com/markets/kxsenategar/georgia-republican-senate-nominee/kxsenategar-26,null
Idaho,https://kalshi.com/markets/senateid/idaho-senate-winner/senateid-26,https://kalshi.com/markets/kxsenateidr/idaho-republican-senate-nominee/kxsenateidr-26,null
Illinois,https://kalshi.com/markets/senateil/illinois-senate-winner/senateil-26,null,null
Iowa,https://kalshi.com/markets/senateia/iowa-senate-winner/senateia-26,https://kalshi.com/markets/kxsenateiar/iowa-republican-senate-nominee/kxsenateiar-26,https://kalshi.com/markets/kxkxsenateiad/iowa-democratic-senate-nominee/kxkxsenateiad-26
Kansas,https://kalshi.com/markets/senateks/kansas-senate-winner/senateks-26,null,https://kalshi.com/markets/kxsenateksd/kansas-democratic-senate-nominee/kxsenateksd-26
Kentucky,https://kalshi.com/markets/senatela/kentucky-senate-winner/senatela-26,https://kalshi.com/markets/kxsenatekyr/kentucky-republican-senate-nominee/kxsenatekyr-26,https://kalshi.com/markets/kxsenatekyd/kentucky-democratic-senate-nominee/kxsenatekyd-26
Louisiana,https://kalshi.com/markets/kxsenatela/louisiana-senate-winner/kxsenatela-26nov,https://kalshi.com/markets/kxsenatelar/louisiana-republican-senate-nominee/kxsenatelar-26,https://kalshi.com/markets/kxsenatelad/louisiana-democratic-senate-nominee/kxsenatelad-26
Maine,https://kalshi.com/markets/senateme/maine-senate-winner/senateme-26,null,https://kalshi.com/markets/kxsenatemed/maine-democratic-senate-nominee/kxsenatemed-26
